Time,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM
170,2.049843083,1.890305757,1.95153225,1.770175727,1.761879454,1.671864894,1.877197646,2.065523038,2.055069734,0.513373361,0.546475489,0.630848583,0.483755667,0.506487454,0.585385009,0.619399727,0.580407245,0.613509373,0.291365101,0.371424133,0.389924821,0.31293541,0.324716117,0.337160526,0.334754607,0.305468764,0.348194569,0.203175721,0.249137072,0.208568298,0.202346094,0.244159308,0.270790344,0.280331058,0.258262972,0.276099959
175,2.116462153,1.956592976,2.012426892,1.841855524,1.822857059,1.747692827,1.941742648,2.131229519,2.140604307,0.515696317,0.54680734,0.63499672,0.490392685,0.509805963,0.601064964,0.619067876,0.581568723,0.614256038,0.293356206,0.370926357,0.390090747,0.316502807,0.325379819,0.342553104,0.335584235,0.307376907,0.347199017,0.202263131,0.25212373,0.210476441,0.204420162,0.244408197,0.270707381,0.277261437,0.259341488,0.276929586
180,2.167982007,2.010435787,2.085600018,1.904741271,1.879022826,1.847579952,2.006702464,2.200752285,2.207555228,0.516442982,0.550374737,0.634581906,0.491803051,0.5139541,0.600484225,0.622635273,0.583808717,0.613841224,0.29012066,0.371175245,0.393989995,0.319738354,0.323554639,0.339151632,0.333510166,0.305551727,0.34670124,0.201433503,0.251128178,0.209314963,0.202926833,0.242831905,0.271951822,0.278754766,0.25759927,0.2773444
185,2.249617331,2.06344897,2.157860554,1.971692193,1.929464164,1.923573811,2.099288868,2.271436529,2.294334242,0.514783727,0.546309564,0.639725595,0.497942293,0.512543733,0.612099007,0.626202671,0.588288704,0.617989361,0.290784362,0.374576717,0.390090747,0.320485018,0.327122036,0.341806439,0.336413862,0.305800615,0.347033091,0.203009795,0.251791879,0.210393478,0.204337199,0.244076346,0.270707381,0.278339952,0.258677786,0.275934033
190,2.321380091,2.126002867,2.219501861,2.025037227,1.998738042,1.987538074,2.19909303,2.348591866,2.386671758,0.51669187,0.550125849,0.643956694,0.498191181,0.516111131,0.614587889,0.631180434,0.587790928,0.615500479,0.290286585,0.373664127,0.391335188,0.324301304,0.326873148,0.33666275,0.335501272,0.306630243,0.34761383,0.200603876,0.250796327,0.211886807,0.206328304,0.243329681,0.268716276,0.277842176,0.261664444,0.278837729
195,2.382274733,2.176361243,2.291679435,2.10725329,2.05249789,2.064195634,2.283051311,2.411643539,2.456941189,0.517770385,0.549462147,0.643956694,0.505408939,0.516360019,0.620810093,0.628774515,0.589616108,0.618653062,0.290784362,0.372336723,0.390671486,0.325960558,0.327702775,0.343133843,0.335501272,0.305883578,0.349687898,0.203092758,0.252206693,0.210476441,0.203839423,0.243827457,0.271537009,0.280662909,0.257848159,0.278174027
200,2.443335301,2.24107217,2.345605208,2.15346353,2.119448811,2.111069576,2.360455536,2.472870032,2.534428377,0.51760446,0.556265091,0.644039657,0.507151156,0.514700764,0.625787857,0.630018956,0.590694623,0.620478242,0.292526579,0.373830052,0.391003337,0.328366477,0.32844944,0.341557551,0.337658303,0.30928505,0.347364942,0.201101653,0.250713364,0.211471994,0.207738671,0.243329681,0.270458493,0.281492536,0.259341488,0.27825699
205,2.477598908,2.292840913,2.386671758,2.217427793,2.16897756,2.174370137,2.421018327,2.550606109,2.606025211,0.520674081,0.549213259,0.644786322,0.50939115,0.518848901,0.62678341,0.631761173,0.588454629,0.615417516,0.289456958,0.371009319,0.391003337,0.329610918,0.330772396,0.343548656,0.337160526,0.307210982,0.346203464,0.202014243,0.250547438,0.210891254,0.207074969,0.243744495,0.2682185,0.279501431,0.258262972,0.278754766
210,2.535672817,2.346766686,2.453373791,2.281392056,2.2334396,2.228959612,2.495021081,2.622700719,2.698362727,0.52673036,0.553029545,0.643873732,0.510801516,0.519346677,0.626866372,0.62860859,0.589533145,0.620312317,0.290867324,0.372751537,0.388763343,0.329859806,0.330689434,0.342636066,0.335418309,0.308538385,0.345622725,0.200686839,0.25029855,0.210061627,0.207821634,0.242583017,0.267388872,0.281575499,0.258097047,0.276099959
215,2.591921547,2.405836148,2.51932916,2.316900104,2.29640831,2.283715013,2.57284012,2.687992386,2.774605474,0.522665186,0.556265091,0.648270756,0.511631143,0.518268162,0.626202671,0.626451559,0.593100542,0.619067876,0.288959181,0.373415239,0.390339635,0.33027462,0.33027462,0.342553104,0.336247936,0.311193193,0.348277532,0.201682392,0.249634848,0.210393478,0.207572745,0.24482301,0.26763776,0.278339952,0.260171115,0.276348847
220,2.650244345,2.457356002,2.547370562,2.381776957,2.337640786,2.319720837,2.635145128,2.760833661,2.837988998,0.522582223,0.559168786,0.649681123,0.512626696,0.518931863,0.62495823,0.628857478,0.595008685,0.622054534,0.290037697,0.374742642,0.390422598,0.332763502,0.328947216,0.343631619,0.336247936,0.311276155,0.345871613,0.201267578,0.247892631,0.213131248,0.208402373,0.243329681,0.266559245,0.28099476,0.258926674,0.276846623
225,2.705165671,2.508709931,2.605278546,2.426742756,2.405504297,2.364188859,2.727731533,2.81492536,2.910498422,0.525983695,0.55502065,0.650178899,0.521088894,0.522333335,0.629604143,0.62952118,0.593266468,0.618155286,0.287963629,0.373249313,0.390505561,0.33392498,0.332514614,0.341308663,0.335916086,0.31202282,0.347862718,0.200935727,0.249220035,0.210725329,0.207987559,0.246067451,0.269628866,0.281575499,0.257848159,0.275270331
230,2.766060313,2.561142375,2.670321325,2.471459666,2.469883374,2.426742756,2.789206914,2.888181449,2.965668637,0.52308,0.554937687,0.650842601,0.518102236,0.522499261,0.626534522,0.631014509,0.589284257,0.620063429,0.289622883,0.373249313,0.389592971,0.332265725,0.331602024,0.340810886,0.338073116,0.31019764,0.342719029,0.20101869,0.250132625,0.209563851,0.207489783,0.241421538,0.270209605,0.278339952,0.259507413,0.27767625
235,2.79758615,2.622202943,2.734534476,2.525800253,2.501824024,2.463744132,2.844791942,2.956459774,3.034859552,0.525071105,0.552199917,0.650593713,0.517272609,0.528721465,0.626285633,0.630848583,0.596833865,0.621971572,0.287631778,0.372917462,0.387518902,0.33301239,0.333510166,0.343216806,0.338902744,0.310612453,0.344959023,0.202263131,0.248141519,0.208734224,0.210642366,0.244740047,0.2682185,0.279501431,0.259922227,0.275602182
240,2.86329263,2.661942089,2.787796548,2.565124586,2.549610556,2.506801788,2.941277595,3.044151377,3.087043108,0.530795534,0.554605836,0.651340377,0.517687422,0.523909627,0.632424875,0.631761173,0.593930169,0.620229354,0.288627331,0.373415239,0.392579629,0.335833123,0.331353135,0.343797545,0.339566446,0.311193193,0.347281979,0.202429056,0.248888184,0.209480888,0.209066074,0.24299783,0.268633313,0.281409573,0.260254078,0.277510325
